因子名,因子逻辑,计算公式（算子形式）,算子及口径说明
MinuteReturnVolumeCorrelation,分钟收益率与同期成交量的Pearson相关系数。,"CORR(r,volume)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。CORR为同索引配对非缺失值的Pearson相关系数；有效配对不足2条或任一序列常数时为NaN。SHIFT(x,k)取前k条，k=-1取后一条，不跨日；PCT_CHANGE(x,1)=SUB(DIV(x,SHIFT(x,1)),1)，不填充缺失值，首条变化率为NaN。领先/滞后以实际shift方向为准。"
MinuteVolumeShareKurtosis,日内分钟成交量占全天成交量比例序列的超额峰度。,"KURT_EXCESS(DIV(volume,SUM(volume)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。SKEW/KURT_EXCESS分别按pandas Series.skew()/kurt()口径计算经样本偏差修正的偏度/超额峰度，跳过NaN，分别至少需要3/4个有效值；超额峰度采用正态分布为0的口径；EQ表示等于；比值分母为0时返回NaN。成交量占比直接除以全天成交量之和，无单独的分母保护。"
MinuteVolumeShareSkewKurtosisRatio,日内分钟成交量占全天成交量比例序列的偏度与超额峰度之比。,"x=DIV(volume,SUM(volume)); k=KURT_EXCESS(x); IF(EQ(k,0),NaN,DIV(SKEW(x),k))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。SKEW/KURT_EXCESS分别按pandas Series.skew()/kurt()口径计算经样本偏差修正的偏度/超额峰度，跳过NaN，分别至少需要3/4个有效值；超额峰度采用正态分布为0的口径；EQ表示等于；比值分母为0时返回NaN。成交量占比直接除以全天成交量之和，无单独的分母保护。"
MinuteVolumeShareSkewness,日内分钟成交量占全天成交量比例序列的偏度。,"SKEW(DIV(volume,SUM(volume)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。SKEW/KURT_EXCESS分别按pandas Series.skew()/kurt()口径计算经样本偏差修正的偏度/超额峰度，跳过NaN，分别至少需要3/4个有效值；超额峰度采用正态分布为0的口径；EQ表示等于；比值分母为0时返回NaN。成交量占比直接除以全天成交量之和，无单独的分母保护。"
MinuteVolumeStd,日内分钟成交量的样本标准差。,"STD(CLEAN(volume),ddof=1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。STD为样本标准差，分母为有效样本数减1，少于2个有效值为NaN。"
MorningAfternoonMomentumDifference,下午13:00至15:00时段收益率减去上午09:30至11:30时段收益率。,"SUB(PERIOD_RETURN(13:00,15:00),PERIOD_RETURN(09:30,11:30))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。PERIOD_RETURN(a,b)=SUB(DIV(LAST(TIME_FILTER(close,a,b)),FIRST(TIME_FILTER(open,a,b))),1)；TIME_FILTER包含两端；FIRST/LAST按位置取首尾，不跳过NaN；时段无记录返回NaN。"
MorningMomentum,09:30至11:30时段最后有效收盘价相对最早有效开盘价的收益率。,"SUB(DIV(LAST_VALID(TIME_FILTER(close,09:30,11:30)),FIRST_VALID(TIME_FILTER(open,09:30,11:30))),1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TIME_FILTER按时刻筛选且包含两端；FIRST_VALID/LAST_VALID分别取首个/末个非NaN值；整个时段无记录时该股票当日不输出行。"
OpeningVolumeRatio,09:30至10:00时段成交量占全天成交量的比例。,"T=SUM(volume); IF(EQ(T,0),NaN,DIV(SUM(TIME_FILTER(volume,09:30,10:00)),T))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TIME_FILTER包含两端，因此名称中的分钟数不代表固定记录数；有ticks参数时用ticks，否则用minutes，当前构造器使用minutes；EQ表示等于。分母为0返回NaN；窗口无记录或成交量全NaN时分子为0。"
PreCloseAuctionVolume,14:54至14:57时段成交量之和。,"SUM(TIME_FILTER(volume,14:54,14:57),min_count=1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TIME_FILTER包含两端，因此名称中的分钟数不代表固定记录数；有ticks参数时用ticks，否则用minutes，当前构造器使用minutes；EQ表示等于。窗口无记录或成交量全NaN返回NaN。"
RollingHighLowBetaLastZScore,最后一个有效滚动50条K线beta，减去当日有效beta均值，再除以其样本标准差。,"b=DIV(TS_COV(low,high,50,ddof=0),TS_VAR(low,50,ddof=0)); c=TS_CORR(low,high,50); s=AND(ISFINITE(b),ISFINITE(c)); x=FILTER(b,s); d=STD(x,ddof=1); IF(EQ(d,0),NaN,DIV(SUB(LAST(x),MEAN(x)),d))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TS_COV/TS_VAR/TS_CORR为日内向后滚动的协方差/方差/Pearson相关系数；窗口50条且min_periods=50，协方差和方差使用ddof=0；等价于带截距的high对low回归斜率。ISFINITE判断非缺失且非无穷，AND为且；各统计只保留beta和相关系数均有限的窗口；无有效窗口返回NaN；窗口不跨日，50条不一定等于50个自然分钟。LAST取最后一个有效窗口的值；STD(ddof=1)为样本标准差，少于2个有效窗口或标准差为0时标准分为NaN；EQ为等于。"
RollingHighLowBetaMean,滚动50条K线计算high对low的回归斜率beta，再取有效窗口的日内均值。,"b=DIV(TS_COV(low,high,50,ddof=0),TS_VAR(low,50,ddof=0)); c=TS_CORR(low,high,50); s=AND(ISFINITE(b),ISFINITE(c)); MEAN(FILTER(b,s))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TS_COV/TS_VAR/TS_CORR为日内向后滚动的协方差/方差/Pearson相关系数；窗口50条且min_periods=50，协方差和方差使用ddof=0；等价于带截距的high对low回归斜率。ISFINITE判断非缺失且非无穷，AND为且；各统计只保留beta和相关系数均有限的窗口；无有效窗口返回NaN；窗口不跨日，50条不一定等于50个自然分钟。LAST取最后一个有效窗口的值；STD(ddof=1)为样本标准差，少于2个有效窗口或标准差为0时标准分为NaN；EQ为等于。"
RollingHighLowCorrelationMean,滚动50条K线计算high与low的相关系数，再取有效窗口的日内均值。,"b=DIV(TS_COV(low,high,50,ddof=0),TS_VAR(low,50,ddof=0)); c=TS_CORR(low,high,50); s=AND(ISFINITE(b),ISFINITE(c)); MEAN(FILTER(c,s))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TS_COV/TS_VAR/TS_CORR为日内向后滚动的协方差/方差/Pearson相关系数；窗口50条且min_periods=50，协方差和方差使用ddof=0；等价于带截距的high对low回归斜率。ISFINITE判断非缺失且非无穷，AND为且；各统计只保留beta和相关系数均有限的窗口；无有效窗口返回NaN；窗口不跨日，50条不一定等于50个自然分钟。LAST取最后一个有效窗口的值；STD(ddof=1)为样本标准差，少于2个有效窗口或标准差为0时标准分为NaN；EQ为等于。"
RollingHighLowRSquaredMean,滚动50条K线计算high与low相关系数的平方，再取有效窗口的日内均值。,"b=DIV(TS_COV(low,high,50,ddof=0),TS_VAR(low,50,ddof=0)); c=TS_CORR(low,high,50); s=AND(ISFINITE(b),ISFINITE(c)); MEAN(CLEAN(FILTER(POW(c,2),s)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TS_COV/TS_VAR/TS_CORR为日内向后滚动的协方差/方差/Pearson相关系数；窗口50条且min_periods=50，协方差和方差使用ddof=0；等价于带截距的high对low回归斜率。ISFINITE判断非缺失且非无穷，AND为且；各统计只保留beta和相关系数均有限的窗口；无有效窗口返回NaN；窗口不跨日，50条不一定等于50个自然分钟。LAST取最后一个有效窗口的值；STD(ddof=1)为样本标准差，少于2个有效窗口或标准差为0时标准分为NaN；EQ为等于。"
Top10ChipGroupVolumeShare,将分钟收益率完全相同的记录合并并累加成交量，取成交量最大的10组之和除以全部有效组的成交量之和。,"g=GROUP_SUM(DROPNA_PAIRS(r,volume),key=r,value=volume); IF(EQ(SUM(g),0),NaN,DIV(SUM(TOP(g,10)),SUM(g)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GROUP_SUM按收益率精确值分组求和，不做分箱；TOP取最大的N个组，不足N组取全部；EQ表示等于。分母仅含收益率与成交量均非缺失的记录，未筛除非正成交量；与成交量加权分布因子的正权重筛选不同。"
Top20VolumeBarReturn,按成交量选取日内最大的20根K线，将对应分钟收益率复合。,"s=DROPNA(TAKE(r,TOP_INDEX(volume,20))); IF(EMPTY(s),NaN,SUB(PROD(ADD(1,s)),1))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TOP_INDEX/BOTTOM_INDEX返回成交量最大/最小的N条记录索引，忽略成交量NaN，不足N条取全部，并列按时间顺序优先取前者；TAKE按索引取值；先选成交量再删除收益率NaN，不补选；EMPTY判断空集。"
Top50ChipGroupVolumeShare,将分钟收益率完全相同的记录合并并累加成交量，取成交量最大的50组之和除以全部有效组的成交量之和。,"g=GROUP_SUM(DROPNA_PAIRS(r,volume),key=r,value=volume); IF(EQ(SUM(g),0),NaN,DIV(SUM(TOP(g,50)),SUM(g)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GROUP_SUM按收益率精确值分组求和，不做分箱；TOP取最大的N个组，不足N组取全部；EQ表示等于。分母仅含收益率与成交量均非缺失的记录，未筛除非正成交量；与成交量加权分布因子的正权重筛选不同。"
Top50VolumeBarReturn,按成交量选取日内最大的50根K线，将对应分钟收益率复合。,"s=DROPNA(TAKE(r,TOP_INDEX(volume,50))); IF(EMPTY(s),NaN,SUB(PROD(ADD(1,s)),1))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TOP_INDEX/BOTTOM_INDEX返回成交量最大/最小的N条记录索引，忽略成交量NaN，不足N条取全部，并列按时间顺序优先取前者；TAKE按索引取值；先选成交量再删除收益率NaN，不补选；EMPTY判断空集。"
Top5ChipGroupVolumeShare,将分钟收益率完全相同的记录合并并累加成交量，取成交量最大的5组之和除以全部有效组的成交量之和。,"g=GROUP_SUM(DROPNA_PAIRS(r,volume),key=r,value=volume); IF(EQ(SUM(g),0),NaN,DIV(SUM(TOP(g,5)),SUM(g)))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GROUP_SUM按收益率精确值分组求和，不做分箱；TOP取最大的N个组，不足N组取全部；EQ表示等于。分母仅含收益率与成交量均非缺失的记录，未筛除非正成交量；与成交量加权分布因子的正权重筛选不同。"
UpsideVolatility,正分钟收益率的均方根。,"x=DROPNA(CLEAN(r)); s=FILTER(x,GT(x,0)); v=IF(EMPTY(s),0,SQRT(MEAN(POW(s,2)))); v","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。GT/LT/EQ为大于/小于/等于；EMPTY为空；正负收益筛选均不含0；均方根的均值分母是筛选后的记录数。没有对应符号的有效收益时分子波动率为0，即使全部收益缺失也为0；比例的分母为0或NaN时结果为NaN。"
UpsideVolatilityRatio,正分钟收益率的均方根除以全部有效分钟收益率的均方根。,"x=DROPNA(CLEAN(r)); s=FILTER(x,GT(x,0)); v=IF(EMPTY(s),0,SQRT(MEAN(POW(s,2)))); d=SQRT(MEAN(POW(x,2))); IF(EQ(d,0),NaN,DIV(v,d))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。GT/LT/EQ为大于/小于/等于；EMPTY为空；正负收益筛选均不含0；均方根的均值分母是筛选后的记录数。没有对应符号的有效收益时分子波动率为0，即使全部收益缺失也为0；比例的分母为0或NaN时结果为NaN。"
VolumeWeightedReturnCentral90Span,正成交量加权的分钟收益率分布95%分位数减去5%分位数。,"d=FILTER(DROPNA_PAIRS(r,volume),GT(volume,0)); g=GROUP_SUM(d,key=r,value=volume); x=KEYS(g); w=DIV(VALUES(g),SUM(VALUES(g))); SUB(WQUANTILE(x,w,0.95),WQUANTILE(x,w,0.05))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GT为大于；GROUP_SUM按收益率精确值分组并累加成交量，不做分箱；KEYS取组收益率，VALUES取组总成交量；只保留严格正成交量。无有效记录或总权重非有限/非正时返回NaN；未单独剔除收益率中的无穷值。WQUANTILE(x,w,q)：按收益率x升序排列，取累计归一化权重首次达到或超过q的收益率；不做线性插值；若浮点误差导致未达到则取最后一项。"
VolumeWeightedReturnKurtosis,收益率按精确值分组，以正成交量为权重，计算标准化四阶中心矩（普通峰度，不减3）。,"d=FILTER(DROPNA_PAIRS(r,volume),GT(volume,0)); g=GROUP_SUM(d,key=r,value=volume); x=KEYS(g); w=DIV(VALUES(g),SUM(VALUES(g))); mu=SUM(MUL(x,w)); sigma=SQRT(SUM(MUL(w,POW(SUB(x,mu),2)))); IF(EQ(sigma,0),NaN,SUM(MUL(w,POW(DIV(SUB(x,mu),sigma),4))))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GT为大于；GROUP_SUM按收益率精确值分组并累加成交量，不做分箱；KEYS取组收益率，VALUES取组总成交量；只保留严格正成交量。无有效记录或总权重非有限/非正时返回NaN；未单独剔除收益率中的无穷值。不做样本偏差修正；标准差为0时Std返回0，Skewness/Kurtosis返回NaN；EQ表示等于。"
VolumeWeightedReturnQuantile60,正成交量加权的分钟收益率分布的60%分位数。,"d=FILTER(DROPNA_PAIRS(r,volume),GT(volume,0)); g=GROUP_SUM(d,key=r,value=volume); x=KEYS(g); w=DIV(VALUES(g),SUM(VALUES(g))); WQUANTILE(x,w,0.6)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GT为大于；GROUP_SUM按收益率精确值分组并累加成交量，不做分箱；KEYS取组收益率，VALUES取组总成交量；只保留严格正成交量。无有效记录或总权重非有限/非正时返回NaN；未单独剔除收益率中的无穷值。WQUANTILE(x,w,q)：按收益率x升序排列，取累计归一化权重首次达到或超过q的收益率；不做线性插值；若浮点误差导致未达到则取最后一项。"
VolumeWeightedReturnQuantile70,正成交量加权的分钟收益率分布的70%分位数。,"d=FILTER(DROPNA_PAIRS(r,volume),GT(volume,0)); g=GROUP_SUM(d,key=r,value=volume); x=KEYS(g); w=DIV(VALUES(g),SUM(VALUES(g))); WQUANTILE(x,w,0.7)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GT为大于；GROUP_SUM按收益率精确值分组并累加成交量，不做分箱；KEYS取组收益率，VALUES取组总成交量；只保留严格正成交量。无有效记录或总权重非有限/非正时返回NaN；未单独剔除收益率中的无穷值。WQUANTILE(x,w,q)：按收益率x升序排列，取累计归一化权重首次达到或超过q的收益率；不做线性插值；若浮点误差导致未达到则取最后一项。"
VolumeWeightedReturnQuantile80,正成交量加权的分钟收益率分布的80%分位数。,"d=FILTER(DROPNA_PAIRS(r,volume),GT(volume,0)); g=GROUP_SUM(d,key=r,value=volume); x=KEYS(g); w=DIV(VALUES(g),SUM(VALUES(g))); WQUANTILE(x,w,0.8)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。DROPNA_PAIRS删除收益率或成交量缺失的记录；GT为大于；GROUP_SUM按收益率精确值分组并累加成交量，不做分箱；KEYS取组收益率，VALUES取组总成交量；只保留严格正成交量。无有效记录或总权重非有限/非正时返回NaN；未单独剔除收益率中的无穷值。WQUANTILE(x,w,q)：按收益率x升序排列，取累计归一化权重首次达到或超过q的收益率；不做线性插值；若浮点误差导致未达到则取最后一项。"
